Intersection,All_Motorized_Vehicles_AADT_24Hour_Volume,Percent_Trucks,Pedestrians_Not_Factored,Bicycles_Not_Factored,Date_Collected,X,Y,LAT,LONG,FID
BANK ST @ NOTTING HILL AVE,30343,0.0267,140,26,1555387200000,370409.8763,5025743.8452,45.3685664111,-75.6624111057,594
BANK ST @ OSSINGTON AVE,16207,0.0298,717,163,1555387200000,368890.7174,5028320.554,45.3918914422,-75.6814684991,595
BANK ST @ POWELL AVE,17153,0.0433,1078,472,1560312000000,368173.7076,5029945.5609,45.4065780112,-75.6904160405,596
BANK ST @ QUEEN ST,17068,0.085,20370,169,1575349200000,367343.704,5031489.58,45.4205452817,-75.70082216,597
BANK ST @ RIDGEMONT AVE,28530,0.0279,98,28,1555387200000,370079.7209,5026627.5306,45.376548361,-75.6665086946,598
BANK ST @ RIVERDALE AVE,19544,0.0291,993,266,1555387200000,369077.5351,5028116.986,45.3900426798,-75.6791093289,599
BANK ST @ ROTARY WAY,24127,0.0486,22,0,1575435600000,375523.54,5021226.12,45.3274205691,-75.5977829297,600
BANK ST @ SLATER ST,21731,0.0613,17241,183,1575349200000,367424.7024,5031354.5769,45.4193233208,-75.6998044308,601
BANK ST @ SPRINGHILL RD,7096,0.0767,0,0,1574139600000,385125.7848,5006291.3772,45.1920138277,-75.4777203846,602
BANK ST @ ST. BERNARD ST,18509,0.0407,113,10,1555387200000,373004.7398,5023708.4987,45.3500054298,-75.629569184,603
BANK ST @ STRATHCONA AVE,18280,0.0463,1083,29,1551762000000,368138.7099,5030028.5589,45.4073279688,-75.6908524204,604
BANK ST @ WAVERLEY ST,12170,0.049,3142,205,1555387200000,367849.7136,5030672.5711,45.4131486811,-75.694461589,605
BANKFIELD RD @ FIRST LINE RD,11062,0.0914,0,0,1556769600000,366735.6956,5009189.387,45.2199452988,-75.7113791731,606
BANKFIELD RD @ FIRST LINE RD,9378,0.0811,0,1,1551330000000,366735.6956,5009189.387,45.2199452988,-75.7113791731,607
ELGIN ST @ ISABELLA ST,9838,0.0259,792,95,1574744400000,368614.7122,5030489.5734,45.4114327866,-75.6847124635,608
ELGIN ST @ LAURIER AVE,30520,0.03,9606,151,1551243600000,367948.7099,5031549.5758,45.4210307559,-75.6930845265,609
ELGIN ST @ LAURIER AVE,24769,0.0344,16842,2837,1559620800000,367948.7099,5031549.5758,45.4210307559,-75.6930845265,610
ELGIN ST @ QUEEN ST,23987,0.0801,6267,164,1575349200000,367804.7025,5031779.578,45.4231132234,-75.6948950577,611
ELGIN ST @ SLATER ST,30794,0.0431,6978,168,1575349200000,367890.7077,5031646.5751,45.4219087564,-75.693813184,612
ELGIN ST @ SOMERSET ST,7951,0.0616,5773,46,1551934800000,368164.7086,5031198.5719,45.4178530108,-75.690369908,613
ELLENDALE CRES @ LANARK AVE,3284,0.0289,183,56,1571889600000,363463.6947,5029087.5581,45.3992684635,-75.7506820135,614
EMMETT RD @ FRENCH HILL RD,759,0.1079,2,0,1574139600000,395181.822,5038823.538,45.4834842376,-75.3438232044,615
ESCADE DR @ LEIKIN DR,6158,0.0247,180,84,1560312000000,366779.7086,5016801.4419,45.2884344543,-75.7098695327,616
ESSON ST @ HUNT CLUB RD,27648,0.0519,2,3,1553054400000,374639.7381,5025907.521,45.3696303674,-75.6083950734,617
ESTERLAWN PRIV @ FAIRLAWN AVE,5082,0.0329,86,19,1571716800000,362019.6862,5025559.5275,45.3676431505,-75.7695339166,618
EWING ST @ JOHNSTON RD,5228,0.0326,162,53,1570680000000,373637.7405,5026421.5307,45.3743543425,-75.6211138588,619
FABLE ST @ SHERWAY DR,6020,0.0378,246,59,1570680000000,362571.6802,5015275.4346,45.2750618862,-75.7636874001,620
FALAISE RD @ FISHER AVE,18202,0.032,46,2,1551243600000,366775.7082,5024561.5211,45.3582588868,-75.7089493332,621
FALLOWFIELD RD @ DWYER HILL RD,5177,0.0475,1,7,1556164800000,344781.5077,5002945.3942,45.1653464186,-75.9914061835,622
FALLOWFIELD RD @ HOLITMAN DR,24900,0.029,39,28,1570680000000,363742.6858,5017134.4441,45.2916920719,-75.7485431451,623
FALLOWFIELD RD @ TRANSITWAY/VIARAIL,25411,0.0442,111,48,1570680000000,364467.657,5017549.206,45.2953629045,-75.7392514457,624
FARMERS WAY @ NINTH LINE RD,956,0.0762,3,0,1574658000000,383785.8041,5022132.4966,45.3346943722,-75.4922524926,625
FEATHERSTON DR E @ KILBORN AVE E,8215,0.0373,255,313,1570507200000,372290.7323,5027963.5395,45.3883597571,-75.6380990174,626
FERNBANK RD @ JINKINSON RD,2317,0.133,0,9,1556596800000,345895.5257,5007661.3995,45.207719671,-75.9768470696,627
FERNBANK RD @ ROMINA ST,8879,0.0417,34,0,1550725200000,354467.6389,5015279.886,45.2757210939,-75.8669678719,628
FERNBANK RD @ STITTSVILLE MAIN ST,11250,0.0567,95,13,1556596800000,350934.5888,5012161.4039,45.2479006353,-75.9122850059,629
FIELDING DR @ MCCARTHY RD,8365,0.0359,68,2,1549515600000,369366.7197,5025039.5172,45.362325944,-75.6758188928,630
FIFTH AVE @ QUEEN ELIZABETH DRWY,10668,0.0131,854,514,1565323200000,368836.6789,5029657.7389,45.4039279451,-75.681984984,631
FIFTH AVE @ QUEEN ELIZABETH DRWY,10363,0.0078,1623,454,1565409600000,368836.6789,5029657.7389,45.4039279451,-75.681984984,632
FIFTH AVE/CRAIG ST @ PERCY ST,4299,0.0175,762,423,1555473600000,367965.7097,5029141.5633,45.3993626876,-75.6931758819,633
FINDLAY CREEK DR @ BANK ST,19504,0.0587,47,1,1575435600000,375847.4734,5020459.9651,45.3204943091,-75.5937609678,634
FINDLAY CREEK DR @ WHITE ALDER AVE,7930,0.0409,43,1,1576040400000,374691.5389,5019724.5879,45.3139936848,-75.6086073234,635
FIRST LINE RD/RIDEAU VALLEY DR @ ROGER STEVENS,8870,0.0708,1,0,1573707600000,371492.6992,5002412.3327,45.1585315118,-75.6517214878,636
FISHER AVE @ TRENT ST,18840,0.0296,178,35,1573621200000,365783.6994,5026928.5396,45.3796438575,-75.7213178376,637
FLAMBOROUGH WAY @ HALTON TER,2770,0.0592,141,1,1573621200000,349273.6083,5023340.5132,45.3486006764,-75.9324407277,638
FLEMING AVE @ HAIG DR,7457,0.0259,95,64,1570507200000,372484.7327,5028253.5375,45.3909503174,-75.6355820129,639
FLEWELLYN RD @ MUNSTER RD E,3368,0.0764,8,6,1556596800000,346145.524,5006067.3856,45.1933612694,-75.9737969199,640
FLEWELLYN RD @ SHEA RD,5501,0.064,0,0,1550725200000,352993.6002,5012174.4052,45.2478796436,-75.8860551902,641
FLORA ST @ KENT ST,18544,0.019,762,34,1553572800000,367828.7134,5030323.5674,45.4100103476,-75.6947744928,642
FOOTHILLS DR @ NORTHSIDE RD,4075,0.0386,1,2,1556683200000,358601.6619,5021354.486,45.3300767851,-75.813622616,643
FOREST HILL AVE @ PRINCE OF WALES DR,24092,0.0257,138,21,1573621200000,366819.713,5026290.528,45.3738122306,-75.7081706866,644
FOREST VALLEY DR @ MEADOWGLEN DR,6581,0.0291,129,7,1553659200000,379849.7393,5035214.5796,45.4528303592,-75.5404739238,645
FOREST VALLEY DR @ ORLEANS BLVD,17310,0.0375,100,0,1546923600000,380258.7487,5034819.5715,45.4492323343,-75.5353059949,646
FOREST VALLEY DR @ RIVERMILL CRES N,6039,0.0253,85,2,1553659200000,379590.7421,5035860.582,45.4586703706,-75.5436865452,647
FORTUNE ST @ PERTH ST,8540,0.0509,18,1,1556596800000,356300.607,5005848.3445,45.1907217008,-75.8445837956,648
FOURTH AVE @ O'CONNOR ST,3235,0.0231,663,678,1569384000000,368678.7109,5029661.5635,45.4039767906,-75.6840021916,649
FOURTH LINE RD @ LOCKHEAD RD,2295,0.0693,0,5,1571284800000,367864.6595,4997791.2766,45.1172840787,-75.6984454372,650
FOURTH LINE RD @ POLLOCK RD,1534,0.0962,1,0,1573707600000,364308.6525,5001734.3073,45.1530726161,-75.7431691819,651
FOURTH LINE RD @ PRINCE OF WALES DR,6900,0.0583,7,0,1575954000000,366274.6558,4999562.2776,45.1333599221,-75.71843496,652
FRANK BENDER ST @ JEANNE D'ARC BLVD,24870,0.0271,145,1,1546923600000,381870.7507,5035883.5742,45.4586294557,-75.5145338373,653
FRANK KENNY RD @ FRENCH HILL RD,4558,0.1039,0,1,1574139600000,388577.7971,5036030.5384,45.459179672,-75.4287635419,654
FRANK KENNY RD @ GIROUX RD,4813,0.1116,0,0,1574139600000,389513.7998,5033755.5287,45.4385987636,-75.4171890987,655
FRANK KENNY RD @ RUSSELL RD,10621,0.0745,1,10,1556164800000,392562.8487,5026365.4753,45.3717354194,-75.3795388658,656
FRANK KENNY RD/TED KELLY LANE @ OLD MONTREAL R,5295,0.0217,4,0,1566964800000,386380.7583,5040874.586,45.5030214103,-75.4560468926,657
FRANKTOWN RD @ DWYER HILL RD,6661,0.0583,5,4,1556596800000,348404.5241,4998730.3473,45.1272024847,-75.9456885881,658
FRANKTOWN RD @ MUNSTER RD,5481,0.0583,0,2,1556596800000,350728.5458,5000781.3253,45.1455110906,-75.915958183,659
FRASER AVE @ BYRON AVE,3792,0.0115,406,366,1560398400000,362504.294,5027656.1551,45.3864686331,-75.7631029258,660
GALETTA SIDE RD @ LOGGERS WAY,2290,0.053,3,3,1554264000000,325001.5438,5032562.6636,45.4327055084,-76.2418111537,661
GALETTA SIDE RD @ STONECREST RD,1406,0.0723,1,3,1554264000000,330967.6024,5037783.6676,45.4794881353,-76.1652843848,662
GALETTA SIDE RD @ TYNDAL ST,2272,0.0418,15,0,1554264000000,323856.5204,5031653.6558,45.4245579728,-76.2564803348,663
GALETTA SIDE RD @ UPPER DWYER HILL RD,956,0.0703,0,0,1550725200000,320846.4696,5028844.6446,45.3993565667,-76.2950363827,664
GALETTA SIDE RD @ WOODKILTON RD,1528,0.0461,5,1,1554264000000,332712.5921,5039508.6742,45.4949426441,-76.1428661824,665
GALETTA SIDE RD N @ HIGHWAY 15,2656,0.0648,0,0,1554264000000,319636.4494,5027903.6438,45.3909156107,-76.3105203376,666
GARDENWAY DR @ THICKET WAY,2187,0.0808,88,29,1568088000000,384512.7532,5036646.5578,45.4651976485,-75.4806334176,667
GARFIELD AVE @ MAITLAND AVE,36511,0.0177,48,9,1548133200000,363342.6918,5025562.5277,45.367560889,-75.7526455098,668
GARLANDSIDE RD @ RUSSLAND RD,2651,0.0467,0,0,1574053200000,400749.924,5024519.447,45.3540543916,-75.2753965375,669
GARVIN RD @ HUNTLEY RD,3309,0.0758,0,1,1571198400000,355984.6139,5007387.363,45.2045933045,-75.8484469498,670
GENEST ST @ MARIER AVE,4130,0.0611,539,108,1571716800000,369780.7111,5033813.6043,45.44123381,-75.6693788466,671
BRITANNIA RD @ ROWATT ST,1480,0.052,45,28,1567051200000,359645.6715,5025858.5363,45.3705234145,-75.7998050498,672
GEORGE ST @ DALHOUSIE ST,14895,0.0555,4591,63,1553140800000,368157.6976,5032315.5897,45.4279041891,-75.6903158178,673
GEORGINA DR @ MOUNTAINVIEW AVE,3817,0.0301,154,62,1571716800000,361696.682,5025283.5208,45.365185959,-75.7736888357,674
GILCHRIST ST @ SPENCER ST,2394,0.0123,290,192,1560225600000,364349.6961,5029160.5551,45.3998504767,-75.7393571999,675
GILMOUR ST @ PERCY ST,1624,0.0182,505,300,1565668800000,367200.6946,5030422.5669,45.4109573926,-75.7027844515,676
GLADSTONE AVE @ LEBRETON ST,13041,0.0346,724,514,1569384000000,366855.7004,5029922.5687,45.4064892266,-75.7072545229,677
GLADSTONE AVE @ MELROSE AVE,5485,0.0463,630,80,1573102800000,365587.6946,5029279.5566,45.4008148283,-75.7235307215,678
GLADSTONE AVE @ SPADINA AVE,5665,0.0431,339,88,1573102800000,365901.6998,5029436.5618,45.4022001874,-75.7195007094,679
GLEN ST @ VICTORIA ST,8638,0.0526,29,7,1575954000000,385041.8004,5010921.4142,45.2336819464,-75.4780431593,680
GLENVIEW AVE @ RIVERDALE AVE,7214,0.0343,79,7,1551243600000,369324.711,5029411.5593,45.4016680907,-75.6757836395,681
GOLDEN ASH LANE @ STAGECOACH RD,8034,0.0885,1,1,1571198400000,375754.7458,5013689.4415,45.2595849262,-75.5959120062,682
GOLDEN AVE @ RICHMOND RD,12300,0.0386,1526,203,1571889600000,362862.6892,5028026.5456,45.3897717363,-75.7584829446,683
GOLFLINKS DR @ BLACKSHIRE CIRC/PONDHOLLOW WAY,2095,0.0508,129,23,1570680000000,365846.8485,5013406.7342,45.2579706479,-75.7221781114,684
GOLFLINKS DR E @ JOCKVALE RD,19388,0.0247,31,12,1569384000000,366031.0335,5012609.9672,45.2507853423,-75.7199297196,685
GRANT CARMAN DR @ VIEWMOUNT DR,10335,0.0484,216,3,1550638800000,365434.7047,5023081.5082,45.3450592126,-75.7262456467,686
GREENBANK RD @ HALF MOON BAY,13185,0.0206,201,85,1560312000000,364651.5955,5013125.0041,45.2555383295,-75.7374398639,687
GREENBANK RD @ HWY 417 IC129 RAMP57/IRIS ST,51949,0.0305,800,2,1547614800000,360531.309,5023312.494,45.3475443496,-75.7887863802,688
GREENBANK RD @ KILBIRNIE DR,3775,0.0456,43,9,1569902400000,365285.2559,5011656.8611,45.2422737675,-75.7295458462,689
GREENBANK RD @ MONTEREY DR,30301,0.0207,67,21,1567051200000,360653.6821,5022452.4975,45.3397963795,-75.7873219432,690
GREENBANK RD @ MONTEREY DR,30811,0.021,60,10,1556683200000,360653.6821,5022452.4975,45.3397963795,-75.7873219432,691
GREENBANK RD @ PRINCE OF WALES DR,10975,0.0454,0,6,1570680000000,366201.6912,5009543.3812,45.2231772965,-75.7181342986,692
GREENBANK RD @ WEST HUNT CLUB RD,61383,0.0261,1,2,1547528400000,361479.677,5020502.4792,45.3221838985,-75.7770065915,693
GREGOIRE RD @ MARVELVILLE RD,3140,0.0553,0,3,1565841600000,393290.8371,5008915.3606,45.2146449313,-75.373359754,694
GREGOIRE RD @ SPRINGHILL RD,2036,0.0707,0,1,1574053200000,392478.8396,5010798.3724,45.2316881982,-75.3833642533,695
GREY NUNS DR @ ST. JOSEPH BLVD,18005,0.0202,44,1,1547701200000,380155.7354,5036666.5898,45.4658614929,-75.5363397232,696
GREY'S CREEK RD @ STONE SCHOOL RD,935,0.086,0,0,1574312400000,381196.7723,5010955.4075,45.2344154597,-75.5270008202,697
GRONINGEN ST @ NONIUS ST,1093,0.0525,29,3,1574917200000,353240.1778,5015364.3363,45.2765666353,-75.882603146,698
HAIG DR @ RUSSELL RD,11191,0.0367,282,3,1546923600000,372730.7306,5029659.5633,45.4035773067,-75.6322470525,699
HAIG DR @ WESTON DR,6747,0.024,249,72,1570507200000,372362.7236,5028793.5497,45.3958209025,-75.6370660954,700
HALL RD S @ RUSSELL RD,6462,0.0392,2,0,1575522000000,384028.7914,5026939.5107,45.3779169281,-75.4883823986,701
HALTON TER @ KLONDIKE RD,4063,0.0468,340,4,1554868800000,348632.9448,5023474.9062,45.3498503106,-75.9406043825,702
HAMILTON AVE @ TYNDALL ST,5576,0.0229,303,52,1573102800000,365186.7025,5028981.5578,45.3981682044,-75.7286887949,703
HARBISON RD @ MCCORDICK RD,1647,0.0816,0,0,1571284800000,361502.6321,5001955.3086,45.1552921485,-75.7788281512,704
HARBOUR ST @ CLIFFORD CAMPBELL ST,1502,0.0916,4,11,1554350400000,327321.5732,5036275.682,45.4660458678,-76.2119900374,705
HARDING RD @ URBANDALE DR,4259,0.0146,49,16,1563336000000,373091.7265,5027702.5343,45.3859337019,-75.6279070948,706
HARMER AVE @ ISLAND PARK DR,9017,0.0093,108,45,1574139600000,365188.6986,5028144.547,45.3906367886,-75.7287657541,707
HARRIS PL @ JOAN ST,283,0.0231,6,9,1560830400000,364615.7044,5023682.5062,45.350537237,-75.7366232136,708
BRITTANY DR @ MONTREAL RD,33084,0.0299,679,14,1547010000000,371912.7118,5033994.5818,45.4426607427,-75.6421047215,709
HARTHILL WAY @ TARTAN DR,2132,0.0777,87,1,1553745600000,362489.6837,5013843.4163,45.2621832331,-75.7648987258,710
BROADHEAD AVE @ CLARE ST,2653,0.0705,83,218,1571889600000,363874.6919,5027893.5428,45.3884903686,-75.7455757235,711
BROADVIEW AVE @ DOVERCOURT AVE,6767,0.0327,1085,151,1571889600000,362984.69,5027116.5378,45.3815734901,-75.7570322808,712
HAWTHORNE AVE/ISABELLA ST @ QUEEN ELIZABETH DR,28514,0.0164,1433,569,1572321600000,368665.7115,5030476.5722,45.4113111539,-75.6840626547,713
BROADVIEW AVE @ PRINCETON AVE,4090,0.018,1398,326,1571889600000,362851.6859,5027444.5394,45.3845358386,-75.7586919122,714
HAWTHORNE RD @ LEITRIM RD,21140,0.1414,1,0,1576040400000,377038.7617,5022709.5023,45.3406130343,-75.57823929,715
BRONSON AVE @ CARLING AVE/GLEBE AVE,47695,0.0225,1596,279,1568260800000,367447.707,5029335.562,45.4011547755,-75.6997671066,716
HAWTHORNE RD @ RIDEAU RD,7087,0.1704,0,0,1551330000000,378618.7767,5018940.4784,45.3065367811,-75.5586429739,717
BRONSON AVE @ FINDLAY AVE,44058,0.0159,208,204,1555473600000,367728.7107,5028661.5569,45.395065071,-75.6962640364,718
HAWTHORNE RD @ RUSSELL RD,23335,0.1362,20,4,1548824400000,374835.7429,5028068.5397,45.3890546347,-75.6055865693,719
BRONSON AVE @ JAMES ST,19599,0.0407,335,35,1555473600000,367066.7007,5030241.5695,45.4093407654,-75.7045190201,720
HAZELDEAN RD @ FRINGEWOOD DR,25795,0.0351,76,57,1564632000000,350755.6003,5015910.4359,45.2816473967,-75.9142181909,721
BRONSON AVE @ POWELL AVE,24373,0.0272,544,160,1565236800000,367387.8789,5029477.214,45.4024346708,-75.7005132712,722
HAZELDEAN RD @ FRINGEWOOD DR,25111,0.0354,56,78,1562126400000,350755.6003,5015910.4359,45.2816473967,-75.9142181909,723
BRONSON AVE @ QUEEN ST,5184,0.0117,488,218,1572321600000,366708.6989,5031094.5818,45.4170476849,-75.7089850458,724
HAZELDEAN RD @ HUNTMAR DR/IBER RD,40034,0.0318,95,92,1562126400000,350942.5979,5016079.4322,45.2831558274,-75.9118190029,725
BRONSON/HERON RAMP 42/BRONSON/HERON RAMP 52 @,10796,0.0294,8,2,1574917200000,368751.7168,5026892.5361,45.3790552719,-75.6834285767,726
HAZELDEAN RD @ SWEETNAM DR,24954,0.0371,6,3,1554868800000,350475.5863,5015656.4414,45.2793801233,-75.9178106323,727
BROPHY DR @ FOURTH LINE RD,4319,0.107,0,0,1571198400000,360738.6398,5005671.3374,45.188790878,-75.7881277675,728
HAZELDEAN RD/HAZELDEAN RD IC RAMP 62 @ HAZELDE,7460,0.1186,2,0,1554868800000,346897.0849,5012420.709,45.2504870584,-75.9636950051,729
BROPHY DR @ MOODIE DR,4610,0.1585,1,0,1571198400000,362746.6601,5006863.3424,45.199354615,-75.7624373498,730
HEATHERINGTON RD @ FAIRLEA CRES S/ANGELA PRIV,4235,0.0522,510,9,1555473600000,371874.7365,5026501.5284,45.3752451065,-75.6436095937,731
BRUIN RD @ CEDARVIEW RD,10377,0.0256,19,8,1556683200000,359230.5254,5020937.0312,45.3262720161,-75.8056463439,732
HEMLOCK RD @ THORNWOOD RD,13000,0.0209,27,118,1571716800000,370715.7075,5034737.6035,45.4494600049,-75.6573046897,733
BURKE ST @ MCBEAN ST,3259,0.0754,74,12,1556596800000,357439.6173,5005481.349,45.1873352594,-75.830128041,734
HENNEPIN ST @ KENNEVALE DR,4503,0.0368,213,2,1553054400000,362268.67,5014468.4367,45.2678253012,-75.767642412,735
BURRIS LANE @ MERIVALE RD,24178,0.0272,465,13,1547528400000,364880.7064,5025067.52,45.362976737,-75.7330731904,736
HENRY ST @ LEBRETON ST,2455,0.0119,169,50,1568260800000,367074.7098,5029412.5594,45.4018808557,-75.7045214147,737
BURTON RD @ MCVAGH RD,1551,0.1174,0,0,1574053200000,392896.8644,5021263.4427,45.3257908339,-75.3761841758,738
HERON RD @ FINN CRT,23684,0.0416,132,3,1549515600000,370831.4892,5026945.1112,45.379335398,-75.6568686896,739
BUTTERFIELD RD/OWLSHEAD RD @ MUNSTER RD,2076,0.0821,31,6,1556596800000,348562.5372,5003261.3547,45.167965294,-75.9432832264,740
HIGH ST @ RICHMOND RD,16010,0.0225,84,39,1567051200000,360014.6766,5024375.5131,45.357150243,-75.7952601602,741
BYRON AVE @ GRANVILLE AVE,5426,0.0124,20,46,1574658000000,364492.6972,5028716.5522,45.39584325,-75.7375845052,742
HIGHBURY PARK DR @ VIA SAN MARINO ST,3832,0.02,15,0,1551848400000,363850.3019,5015696.0811,45.2787406512,-75.7473424478,743
BYRON AVE @ HARMER AVE,6093,0.0207,676,109,1573102800000,364863.7066,5028888.5588,45.3973592025,-75.7328253291,744
HIGHWAY 15 @ WALTER BRADLEY RD,2237,0.0637,0,0,1554264000000,320708.4092,5024901.6139,45.3638780966,-76.2969268965,745
BYRON AVE @ HILLCREST AVE,5071,0.0187,34,173,1572321600000,362631.7299,5027773.46,45.3875136165,-75.7614619306,746
HILLCREST AVE @ TILLBURY AVE,1450,0.0249,54,21,1574917200000,362990.6948,5026876.5446,45.3794135646,-75.7569838974,747
HILLMILLAR ST @ OLD MONTREAL RD,2977,0.0379,2,0,1574139600000,389714.7784,5042341.5777,45.5158217944,-75.4131364644,748
HINCKS LANE @ RIVERSIDE DR,36377,0.0238,32,13,1572321600000,370166.7159,5030205.566,45.4087341543,-75.6649240417,749
HINTON AVE @ SHERWOOD DR,2400,0.0218,362,46,1574226000000,365228.703,5028680.5588,45.3954562578,-75.7281892494,750
HOBBLEBUSH ST @ LONGFIELDS DR,8469,0.0312,134,3,1574744400000,364622.6797,5016649.8868,45.2872576789,-75.7373835783,751
HOLITZNER WAY @ LEIKIN DR,6585,0.0259,146,53,1560312000000,366720.6507,5017197.6702,45.2920048871,-75.7105728847,752
HOLLAND AVE @ ISLAND PARK DR/N.C.C. DRIVEWAY,23344,0.0307,205,68,1574139600000,365425.6976,5027917.5351,45.3885737077,-75.7257671663,753
HOLLAND AVE @ RUSKIN ST,12156,0.0568,228,17,1551243600000,365279.7023,5028350.5569,45.3924825689,-75.7275783861,754
HOPEWELL AVE @ SENECA ST,1442,0.0284,299,100,1557892800000,368265.26,5028203.8841,45.3908986426,-75.6894706962,755
HUNT CLUB RD @ BRIDLE PATH DR/DAZE ST,48431,0.0419,594,15,1553054400000,371291.7289,5023864.5038,45.3515736153,-75.6514072592,756
HUNT CLUB RD @ PIKE ST/MAPLE PARK PRIV,25844,0.0474,16,0,1549515600000,373296.7385,5025088.512,45.3623937979,-75.6256519112,757
HUNT CLUB RD @ RIVERSIDE DR,72173,0.0375,107,231,1560312000000,368036.703,5021945.4985,45.3346078803,-75.6931901991,758
HUNTLEY RD @ FALLOWFIELD RD,6919,0.0533,2,6,1556164800000,352403.5897,5009615.3881,45.224892873,-75.8938158707,759
HUNTMAR DR @ OLD CARP RD,3212,0.0281,0,0,1554782400000,345200.5718,5022384.4909,45.3402445392,-75.9844954989,760
HUNTMAR DR @ PALLADIUM DR S,20367,0.0191,25,2,1554868800000,349675.6066,5017365.4364,45.294809731,-75.927852226,761
HUNTMAR DR @ RICHARDSON SIDE RD,13144,0.0419,0,1,1554868800000,348208.5853,5018982.4625,45.3094524228,-75.9464137355,762
HUNTSVILLE DR @ TERRY FOX DR,18267,0.0252,2,3,1550638800000,348347.1182,5019895.0001,45.3176551396,-75.9445669128,763
HWY 416 ACRES IC75R24 @ HOLLY ACRES RD,18150,0.0371,7,1,1547614800000,358757.674,5022868.4976,45.3436879483,-75.8114673415,764
HWY 416 WESTHUNT IC72R34 @ WEST HUNT CLUB RD,33769,0.0349,0,1,1547528400000,359370.8953,5019361.4391,45.3120838506,-75.8040294127,765
HWY 417 INNES IC112R57 @ INNES RD,39670,0.0692,0,1,1548824400000,374298.8515,5030754.329,45.4132735314,-75.6120638038,766
HWY 417 ST.LAURE IC115R51 @ ST. LAURENT BLVD,45050,0.0829,50,11,1548824400000,372530.7171,5031410.5623,45.4193513838,-75.6345611492,767
HYDRO RD @ RUSSELL RD,4470,0.1103,0,5,1570680000000,375119.7407,5028089.5317,45.3892150538,-75.6019571422,768
INDIAN CREEK RD @ SAUMURE RD,2756,0.0779,0,1,1574053200000,401821.9332,5025206.4334,45.3600874052,-75.2615829101,769
INDUSTRIAL AVE @ TRAINYARDS DR,27104,0.0469,166,3,1548824400000,371685.9551,5030539.4789,45.411595023,-75.6454722252,770
INDUSTRIAL AVE/INNES RD @ ST. LAURENT BLVD,58461,0.0631,142,1,1548824400000,373099.7274,5030005.5667,45.4066545812,-75.6274860775,771
INNES RD @ 177 W OF ORIENT PARK DR/EMILY CARR,11613,0.0372,218,2,1547614800000,378168.5123,5032946.2013,45.4325995681,-75.5623040077,772
INNES RD @ 215 W OF CYRVILLE RD/HOME DEPOT W,52380,0.042,44,3,1548824400000,374863.8856,5031000.7838,45.4154346574,-75.6048106211,773
INNES RD @ 260 E OF BELCOURT BLVD/WALMART SC,30382,0.0372,60,1,1548910800000,382347.1994,5035398.9662,45.4542166448,-75.5085190537,774
INNES RD @ 473 E OF PAGE RD/BUILDERS' WAREHOUS,26740,0.0368,70,4,1548910800000,381300.93,5034781.45,45.4487760521,-75.5219902117,775
INNES RD @ EASTPARK DR E/RONDEL ST,9693,0.0457,141,6,1553745600000,378794.7449,5033314.5649,45.4358478695,-75.5542460888,776
INNES RD @ LANTHIER DR/PRESTWICK DR,40859,0.0228,210,7,1547528400000,383540.7631,5035988.5643,45.4593878546,-75.4931666716,777
INNES RD @ PAGE RD,28015,0.0395,171,6,1546923600000,380887.749,5034540.5545,45.4466537647,-75.5273089231,778
INVERNESS AVE @ BENSON ST,1852,0.0159,54,29,1572494400000,366023.7007,5024436.519,45.3572002109,-75.7185624481,779
IRIS ST @ LAZARD ST,3833,0.0406,93,48,1571716800000,362501.6932,5024594.5243,45.3589206256,-75.7634938078,780
IRIS ST @ NAVAHO DR,4376,0.0408,115,33,1571716800000,362884.6874,5024614.5262,45.3590689752,-75.7586033175,781
IRIS ST @ PINECREST SC,17089,0.0338,279,3,1547614800000,360639.703,5023382.0449,45.3481615458,-75.7873953677,782
IRIS ST @ TRANSITWAY,9227,0.1678,859,12,1548133200000,362011,5024240,45.3557708544,-75.7697975491,783
ISLAND PARK DR @ BYNG DR,8403,0.0089,69,33,1574139600000,364829.6988,5028095.5523,45.3902268081,-75.7333561473,784
IVY CRES @ PUTMAN AVE,511,0.0747,39,5,1553572800000,369072.7001,5033960.5985,45.4426218549,-75.6784089151,785
JASPER AVE @ KITCHENER AVE,1960,0.0418,35,17,1570680000000,371040.7243,5025796.5303,45.3689811151,-75.6543513866,786
JEANNE D'ARC BLVD @ BORLAND DR/VINETTE CRES,6464,0.0355,125,34,1569384000000,381727.7413,5038909.6063,45.4858708811,-75.5158883943,787
JEANNE D'ARC BLVD @ GREY NUNS DR/YOUVILLE DR,27398,0.028,309,0,1547701200000,379670.7425,5036700.5831,45.4662194908,-75.5425358315,788
JEANNE D'ARC BLVD @ MONTCERF CRT,23393,0.029,194,3,1546923600000,381117.7534,5036286.5831,45.4623380584,-75.5240980776,789
JEANNE D'ARC BLVD @ ORLEANS BLVD N,15701,0.0253,435,141,1567051200000,380028.7278,5038105.5987,45.4788222453,-75.5377433641,790
JEANNE D'ARC BLVD @ ORLEANS BLVD S,33015,0.0252,181,2,1548910800000,380940.7445,5036250.5796,45.4620334426,-75.5263667994,791
JEANNE D'ARC BLVD @ PADDLER WAY/VORLAGE DR E,9145,0.0394,133,0,1548910800000,379612.7238,5037995.5981,45.4778772454,-75.543080509,792
